[2024-10-09 18:29:17.370]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2024-10-09 18:29:17.441]	 Done.

[2024-10-10 09:16:42.418]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2024-10-10 09:16:42.429]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2024-10-10 09:16:42.628]	 Already installed "tmux-yank"
[2024-10-10 09:16:42.628]	 Already installed "tmux-cpu"
[2024-10-10 09:16:42.639]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2024-10-10 09:16:42.787]	 Updating all plugins!
[2024-10-10 09:16:42.788]	 
[2024-10-10 09:16:43.433]	   "tmux-cpu" update success
[2024-10-10 09:16:43.436]	     | Already up to date.
[2024-10-10 09:16:43.523]	   "tmux-yank" update success
[2024-10-10 09:16:43.525]	     | Already up to date.
[2024-10-10 09:16:43.540]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2024-10-10 09:16:43.630]	 Done.

[2024-10-28 14:13:06.903]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2024-10-28 14:13:06.915]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2024-10-28 14:13:07.315]	 Already installed "tmux-yank"
[2024-10-28 14:13:07.317]	 Already installed "tmux-cpu"
[2024-10-28 14:13:07.328]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2024-10-28 14:13:07.653]	 Updating all plugins!
[2024-10-28 14:13:07.653]	 
[2024-10-28 14:13:08.544]	   "tmux-cpu" update success
[2024-10-28 14:13:08.544]	   "tmux-yank" update success
[2024-10-28 14:13:08.551]	     | Already up to date.
[2024-10-28 14:13:08.551]	     | Already up to date.
[2024-10-28 14:13:08.563]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2024-10-28 14:13:08.643]	 Done.

[2024-10-30 09:34:05.176]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2024-10-30 09:34:05.186]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2024-10-30 09:34:05.700]	 Already installed "tmux-yank"
[2024-10-30 09:34:05.701]	 Already installed "tmux-cpu"
[2024-10-30 09:34:05.712]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2024-10-30 09:34:05.958]	 Updating all plugins!
[2024-10-30 09:34:05.959]	 
[2024-10-30 09:34:07.506]	   "tmux-cpu" update success
[2024-10-30 09:34:07.506]	   "tmux-yank" update success
[2024-10-30 09:34:07.509]	     | Already up to date.
[2024-10-30 09:34:07.509]	     | Already up to date.
[2024-10-30 09:34:07.519]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2024-10-30 09:34:07.575]	 Done.

[2024-12-04 11:14:53.176]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2024-12-04 11:14:53.189]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2024-12-04 11:14:53.400]	 Already installed "tmux-yank"
[2024-12-04 11:14:53.401]	 Already installed "tmux-cpu"
[2024-12-04 11:14:53.413]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2024-12-04 11:14:53.559]	 Updating all plugins!
[2024-12-04 11:14:53.559]	 
[2024-12-04 11:14:54.117]	   "tmux-yank" update success
[2024-12-04 11:14:54.117]	   "tmux-cpu" update success
[2024-12-04 11:14:54.123]	     | Already up to date.
[2024-12-04 11:14:54.123]	     | Already up to date.
[2024-12-04 11:14:54.135]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2024-12-04 11:14:54.224]	 Done.

[2024-12-09 01:33:11.713]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2024-12-09 01:33:11.725]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2024-12-09 01:33:11.965]	 Already installed "tmux-yank"
[2024-12-09 01:33:11.965]	 Already installed "tmux-cpu"
[2024-12-09 01:33:11.977]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2024-12-09 01:33:12.133]	 Updating all plugins!
[2024-12-09 01:33:12.134]	 
[2024-12-09 01:33:12.634]	   "tmux-cpu" update success
[2024-12-09 01:33:12.638]	     | Already up to date.
[2024-12-09 01:33:12.673]	   "tmux-yank" update success
[2024-12-09 01:33:12.677]	     | Already up to date.
[2024-12-09 01:33:12.689]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2024-12-09 01:33:12.775]	 Done.

[2024-12-09 01:33:15.653]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2024-12-09 01:33:15.664]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2024-12-09 01:33:15.881]	 Already installed "tmux-cpu"
[2024-12-09 01:33:15.882]	 Already installed "tmux-yank"
[2024-12-09 01:33:15.893]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2024-12-09 01:33:16.046]	 Updating all plugins!
[2024-12-09 01:33:16.047]	 
[2024-12-09 01:33:16.578]	   "tmux-cpu" update success
[2024-12-09 01:33:16.582]	     | Already up to date.
[2024-12-09 01:33:16.609]	   "tmux-yank" update success
[2024-12-09 01:33:16.613]	     | Already up to date.
[2024-12-09 01:33:16.625]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2024-12-09 01:33:16.699]	 Done.

[2024-12-10 13:52:59.747]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2024-12-10 13:52:59.760]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2024-12-10 13:52:59.973]	 Already installed "tmux-yank"
